"Source_Key__c","Name","Work_Experience_Source_Key","Project_Source_Key","Bullet_Text__c","Category__c","Display_Order__c","Include_In_CV__c","Include_In_Portfolio__c","Include_In_Resume__c"
"work/accenture-ase/project/telecom-company/bullet/01","EB-0005","work/accenture-ase","work/accenture-ase/project/telecom-company","Investigated and resolved complex issues within the client’s Salesforce org to ensure system stability and reliability","Responsibility","2","True","True","False"
"work/accenture-ase/project/telecom-company/bullet/02","EB-0006","work/accenture-ase","work/accenture-ase/project/telecom-company","Designed and implemented Visualforce pages to generate and export structured data to CSV format, eliminating manual Excel data entry and improving reporting efficiency","Responsibility","1","True","True","False"
"work/accenture-ase/project/vaccine-management-company/bullet/01","EB-0007","work/accenture-ase","work/accenture-ase/project/vaccine-management-company","Designed and implemented Screen Flows as dynamic user interfaces for multiple application forms, enabling administrators to modify logic and fields without developer intervention, reducing technical debt and maintenance cost","Responsibility",,"True","True","False"
"work/accenture-ase/project/vaccine-management-company/bullet/02","EB-0008","work/accenture-ase","work/accenture-ase/project/vaccine-management-company","Designed and implemented Salesforce configurations and automation (Flows, validation rules, object schema), improving process efficiency and data integrity",,,"False","True","False"
"work/accenture-se/project/financial-institution-company/bullet/01","EB-0012","work/accenture-se","work/accenture-se/project/financial-institution-company","Delivered solution walkthroughs and user guide documentation explaining record workflows and the manager approval process",,,"True","True","False"
"work/accenture-se/project/financial-institution-company/bullet/02","EB-0013","work/accenture-se","work/accenture-se/project/financial-institution-company","Automated complex sales workflows using validation rules, Approval Processes, Flows, Apex, and Triggers to improve data consistency and reduce manual workload",,,"True","True","False"
"work/accenture-se/project/manufacturing-company/bullet/01","EB-0014","work/accenture-se","work/accenture-se/project/manufacturing-company","Demonstrated the Einstein Bot through walkthroughs and documentation, explaining automated responses and escalation conditions that route conversations to service agents",,,"False","True","False"
"work/accenture-se/project/manufacturing-company/bullet/02","EB-0015","work/accenture-se","work/accenture-se/project/manufacturing-company","Developed a chatbot using Einstein Bots and Lightning Web Components (LWC) to manage customer inquiries, automate Lead creation, and log conversation history for improved tracking and follow-up",,,"True","True","False"
"work/accenture-se/project/vaccine-management-company/bullet/01","EB-0009","work/accenture-se","work/accenture-se/project/vaccine-management-company","Mentored three associate developers, promoting Salesforce best practices and ensuring high code quality through code reviews and technical guidance","Responsibility",,"False","True","False"
"work/accenture-se/project/vaccine-management-company/bullet/02","EB-0010","work/accenture-se","work/accenture-se/project/vaccine-management-company","Managed deployments across environments using Copado to promote changes from lower to higher environments","Responsibility",,"False","True","False"
"work/accenture-se/project/vaccine-management-company/bullet/03","EB-0011","work/accenture-se","work/accenture-se/project/vaccine-management-company","Designed and built a custom application form using Aura Components and Apex, replacing Screen Flows to improve performance and support more complex user interfaces","Responsibility",,"False","True","False"
"work/cloudstaff/project/educational-institution/bullet/01","EB-0016","work/cloudstaff","work/cloudstaff/project/educational-institution","Showcased the technical documentation and migration from a legacy UI framework to a modern framework, highlighting improved performance, reduced backend processing, and a more scalable architecture",,,"True","True","False"
"work/cloudstaff/project/educational-institution/bullet/02","EB-0017","work/cloudstaff","work/cloudstaff/project/educational-institution","Developed Lightning Web Components (LWC) integrated into the client’s portal on Experience Cloud, improving UI responsiveness and long-term system maintainability",,,"True","True","False"
"work/cloudstaff/project/educational-institution/bullet/03","EB-0018","work/cloudstaff","work/cloudstaff/project/educational-institution","Migrated legacy Salesforce Classic and Visualforce functionality to Lightning Experience, improving maintainability and enhancing overall user experience",,,"False","True","False"
"work/eei-corporation/project/internship/bullet/01","EB-0002","work/eei-corporation","work/eei-corporation/project/internship","Maintained and enhanced corporate website, increasing performance and long-term maintainability","Responsibility","3","True","True","False"
"work/eei-corporation/project/internship/bullet/02","EB-0003","work/eei-corporation","work/eei-corporation/project/internship","Developed reusable UI components and assets, improving consistency and overall user experience","Responsibility","2","True","True","False"
"work/eei-corporation/project/internship/bullet/03","EB-0004","work/eei-corporation","work/eei-corporation/project/internship","Built and optimized internal portal pages, streamlining employee workflows and reducing manual effort","Responsibility","1","True","True","False"
"work/kulturra/project/agentforce-managed-package/bullet/01","EB-0023","work/kulturra","work/kulturra/project/agentforce-managed-package","Led the development of the Salesforce Agentforce managed package, replacing manual customer processes with automation which improved onboarding for new users and accelerated client acquisition and product adoption",,"2","False","True","False"
"work/kulturra/project/agentforce-managed-package/bullet/02","EB-0024","work/kulturra","work/kulturra/project/agentforce-managed-package","Designed and implemented custom topics and actions integrated with the Payment Processing managed package",,,"False","True","False"
"work/kulturra/project/agentforce-managed-package/bullet/03","EB-0025","work/kulturra","work/kulturra/project/agentforce-managed-package","Developed and packaged a custom Agentforce agent using reusable topics and actions for deployment across multiple Salesforce environments",,,"False","True","False"
"work/kulturra/project/agentforce-managed-package/bullet/04","EB-0026","work/kulturra","work/kulturra/project/agentforce-managed-package","Created technical documentation outlining how to configure the Agentforce agent, define topics and actions, and deploy the agent within Experience Cloud environments to support client onboarding and usage",,,"False","True","False"
"work/kulturra/project/hvac-services-company/bullet/01","EB-0031","work/kulturra","work/kulturra/project/hvac-services-company","Developed Lightning Web Components and Screen Flows integrated with Field Service Lightning and the mobile version to streamline field service operations",,,"False","True","False"
"work/kulturra/project/hvac-services-company/bullet/02","EB-0032","work/kulturra","work/kulturra/project/hvac-services-company","Designed dynamic Screen Flow interfaces enabling users to create multiple related records through a simplified workflow",,,"False","True","False"
"work/kulturra/project/hvac-services-company/bullet/03","EB-0033","work/kulturra","work/kulturra/project/hvac-services-company","Delivered solution walkthroughs and documentation explaining flow automations and user workflows to support client adoption",,,"False","True","False"
"work/kulturra/project/jewelry-buyer-and-lender-company/bullet/01","EB-0034","work/kulturra","work/kulturra/project/jewelry-buyer-and-lender-company","Built automated email reminder workflows using Salesforce Flow, reducing manual follow-ups and improving reminder reliability",,,"False","True","False"
"work/kulturra/project/jewelry-buyer-and-lender-company/bullet/02","EB-0035","work/kulturra","work/kulturra/project/jewelry-buyer-and-lender-company","Developed a custom application interface using Screen Flows, enabling users to configure reminders and create related records from a centralized UI",,,"False","True","False"
"work/kulturra/project/jewelry-buyer-and-lender-company/bullet/03","EB-0036","work/kulturra","work/kulturra/project/jewelry-buyer-and-lender-company","Conducted client walkthroughs and technical documentation to guide users through newly implemented user interface and flow automations",,,"False","True","False"
"work/kulturra/project/law-firm-company/bullet/01","EB-0037","work/kulturra","work/kulturra/project/law-firm-company","Refactored Flows, Apex classes, triggers and test classes to improve maintainability, readability, and long-term scalability",,,"False","True","False"
"work/kulturra/project/law-firm-company/bullet/02","EB-0038","work/kulturra","work/kulturra/project/law-firm-company","Implemented record-triggered Flows to replace legacy Workflow automation and improve system governance",,,"False","True","False"
"work/kulturra/project/law-firm-company/bullet/03","EB-0039","work/kulturra","work/kulturra/project/law-firm-company","Designed and implemented data migration processes using Batch Apex, mapping objects from another managed package to the Payment Processing managed package",,,"False","True","False"
"work/kulturra/project/law-firm-company/bullet/04","EB-0040","work/kulturra","work/kulturra/project/law-firm-company","Managed deployments across environments using Change Sets to promote changes from lower to higher environments",,,"False","True","False"
"work/kulturra/project/law-firm-company/bullet/05","EB-0041","work/kulturra","work/kulturra/project/law-firm-company","Presented system enhancements, migration processes and guided users through workflows and automation changes to support adoption",,,"False","True","False"
"work/kulturra/project/payment-processing-managed-package/bullet/01","EB-0027","work/kulturra","work/kulturra/project/payment-processing-managed-package","Implemented and customized the company’s Salesforce managed package across multiple client orgs, developing Lightning Web Components (LWC), Apex classes, and Flow automations aligned with business requirements to improve customer retention",,"1","False","True","False"
"work/kulturra/project/payment-processing-managed-package/bullet/02","EB-0028","work/kulturra","work/kulturra/project/payment-processing-managed-package","Developed feature upgrades enhancing the scalability and REST API integration capabilities of the managed package, enabling reliable integration with external payment systems and accelerating customer onboarding",,,"False","True","False"
"work/kulturra/project/payment-processing-managed-package/bullet/03","EB-0029","work/kulturra","work/kulturra/project/payment-processing-managed-package","Refactored and enhanced Visualforce pages and Aura components to improve system maintainability and performance",,"3","False","True","False"
"work/kulturra/project/payment-processing-managed-package/bullet/04","EB-0030","work/kulturra","work/kulturra/project/payment-processing-managed-package","Investigated and resolved complex client issues across multiple Salesforce orgs, ensuring stability of the managed package",,,"False","True","False"
"work/quantrics/project/automotive-company/bullet/01","EB-0019","work/quantrics","work/quantrics/project/automotive-company","Presented the migration from a legacy UI framework to a modern framework, supported by technical documentation highlighting improved performance and reduced backend processing",,,"False","True","False"
"work/quantrics/project/automotive-company/bullet/02","EB-0020","work/quantrics","work/quantrics/project/automotive-company","Configured Salesforce CPQ to support the organization’s basic quoting and product configuration processes",,,"False","True","False"
